Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"JLCPCB PCB Project","The PCB of the Project",5,2.00,"https://cart.jlcpcb.com/shopcart/cart","JLCPCB"
"470nF 50VDC Low Leakage Electrolytic Capacitor","VUSB Connection",1,0.34,"https://www.jaycar.com.au/p/RL6410","Jaycar"
"47uF 16VDC Electrolytic Capacitor","Power and Boost Module Capacitors ",3,0.75,"https://www.jaycar.com.au/p/RE6100","Jaycar"
"20.0 MHz Crystal","Crystal Oscillator",1,2.10,"https://www.jaycar.com.au/p/RQ5299","Jaycar"
"680uH RF Choke","Inductor For Boost Module",1,0.68,"https://www.jaycar.com.au/p/LF1544","Jaycar"
"100nF 50VDC Ceramic Capacitors ~ Pack of 2","Power Capacitors",1,0.39,"https://www.jaycar.com.au/p/RC5360","Jaycar"
"BC548 NPN Transistor","Boost Module",3,0.64,"https://www.jaycar.com.au/p/ZT2154","Jaycar"
"BC557 PNP Transistor","Boost Module Transistor",1,0.21,"https://www.jaycar.com.au/p/ZT2164","Jaycar"
"6 Pin 0.1 inch Header","The ISCP Header Connection",1,0.68,"https://www.jaycar.com.au/p/HM3406","Jaycar"
"28 Pin Production IC Socket","Securing the PIC18F2550",1,0.53,"https://www.jaycar.com.au/p/PI6510","Jaycar"
"Red 3mm LED","Power Off/Error Indicator",1,0.53,"https://www.jaycar.com.au/p/ZD0102","Jaycar"
"Green 3mm LED ","Green LED for Power On",1,0.53,"https://www.jaycar.com.au/p/ZD0122","Jaycar"
"15pF 50VDC Ceramic Capacitors ~ 2 Pack","Crystal Capacitors",1,0.32,"https://www.jaycar.com.au/p/RC5314","Jaycar"
"Tactile Switch","Reset Switch for PIC18F2550",1,0.68,"https://www.jaycar.com.au/p/SP0611","Jaycar"
"1N4148 Signal Diode Pack of 5","Boost Module Diode",1,0.68,"https://www.jaycar.com.au/p/ZR1100","Jaycar"
"10uF 25VDC Electrolytic Capacitor","Power Capacitor",1,0.25,"https://www.jaycar.com.au/p/RE6070","Jaycar"
"E12 1/4 Watt Resistor Kit","Used for Resistors in the PCB",1,16.34,"https://www.jaycar.com.au/p/RR1697","Jaycar"
"5.1k Ohm Resistor Pack of 8","USB Data Resistor Specifically",1,0.61,"https://www.jaycar.com.au/5-1k-ohm-0-5-watt-metal-film-resistors-pack-of-8/p/RR0589","Jaycar"
"USB Connector Type C","The USB connector, giving power and data to the project",1,0.78,"https://www.digikey.com.au/en/products/detail/gct/USB4105-GF-A/11198441","Digikey"
"PIC18F2550","The heart of the project, powering the programming",1,7.04,"https://www.digikey.com.au/en/products/detail/microchip-technology/PIC18F2550-I-SP/704575","Digikey"
